Id,Error Code,Call Sites to Dropping Function,Validity,Dropping Function,"Origin Site
","Phase-0 Fixed Bug
"
2,*MPI_ERR_UNKNOWN,adio/ad_nfs/ad_nfs_read.c:56,VALID,ADIOI_UNLOCK,adio/common/lock.c:233,180
3,*MPI_ERR_TRUNCATE MPI_ERR_COUNT MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpid/ch3/src/mpid_vc.c:652,VALID,MPIDI_PG_ForwardPGInfo,src/mpi/misc/utils.c:45,157
4,*MPI_ERR_OTHER,adio/common/ad_open.c:152,INVALID,build_cb_config_list,adio/common/cb_config_list.c:78,15
5,*MPI_ERR_OTHER,src/mpid/ch3/channels/nemesis/src/ch3_init.c:260,VALID,MPIDI_VC_Init,src/mpid/ch3/channels/nemesis/src/mpid_nem_init.c:596,182
6,*MPI_ERR_OTHER,src/mpid/ch3/src/mpidi_pg.c:216,VALID,MPIDI_VC_Init,src/mpid/ch3/channels/nemesis/src/mpid_nem_init.c:596,182
7,*MPI_ERR_OTHER,src/mpid/ch3/channels/nemesis/netmod/tcp/socksm.c:661,VALID,MPIDI_VC_Init,src/mpid/ch3/channels/nemesis/src/mpid_nem_init.c:596,182
8,*MPI_ERR_OTHER,adio/common/ad_hints.c:164,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
9,*MPI_ERR_OTHER,adio/common/ad_hints.c:61,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
10,*MPI_ERR_OTHER,adio/common/hint_fns.c:40,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
11,*MPI_ERR_OTHER,adio/common/ad_hints.c:108,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
12,*MPI_ERR_OTHER,adio/common/ad_opencoll.c:132,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
13,*MPI_ERR_OTHER,adio/common/ad_hints.c:88,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
14,*MPI_ERR_OTHER,adio/common/ad_hints.c:101,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
15,*MPI_ERR_OTHER,adio/common/hint_fns.c:149,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
16,*MPI_ERR_OTHER,adio/common/ad_hints.c:283,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
17,*MPI_ERR_OTHER,adio/common/ad_open.c:126,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
18,*MPI_ERR_OTHER,adio/common/ad_hints.c:120,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
19,*MPI_ERR_OTHER,adio/common/ad_hints.c:172,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
20,*MPI_ERR_OTHER,adio/common/hint_fns.c:70,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
21,*MPI_ERR_OTHER,adio/common/ad_hints.c:92,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
22,*MPI_ERR_OTHER,adio/common/ad_hints.c:67,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
23,*MPI_ERR_OTHER,adio/common/ad_hints.c:80,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
24,*MPI_ERR_OTHER,adio/common/ad_hints.c:299,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
25,*MPI_ERR_OTHER,adio/common/ad_hints.c:195,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
26,*MPI_ERR_OTHER,adio/common/hint_fns.c:73,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
27,*MPI_ERR_OTHER,adio/common/ad_hints.c:97,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
28,*MPI_ERR_OTHER,adio/common/ad_opencoll.c:129,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
29,*MPI_ERR_OTHER,adio/common/ad_hints.c:76,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
30,*MPI_ERR_OTHER,adio/common/ad_hints.c:118,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
31,*MPI_ERR_OTHER,adio/common/ad_open.c:309,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
32,*MPI_ERR_OTHER,adio/common/hint_fns.c:110,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
33,*MPI_ERR_OTHER,adio/common/ad_opencoll.c:135,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
34,*MPI_ERR_OTHER,adio/common/cb_config_list.c:90,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
35,*MPI_ERR_OTHER,adio/common/ad_hints.c:84,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
36,*MPI_ERR_OTHER,adio/common/ad_hints.c:112,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
37,*MPI_ERR_OTHER,adio/common/system_hints.c:195,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
38,*MPI_ERR_OTHER,adio/common/ad_hints.c:258,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
39,*MPI_ERR_OTHER,adio/common/system_hints.c:134,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
40,*MPI_ERR_OTHER,adio/common/ad_hints.c:69,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
41,*MPI_ERR_OTHER,adio/common/cb_config_list.c:103,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
42,*MPI_ERR_OTHER,adio/common/ad_aggregate_new.c:182,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
43,*MPI_ERR_OTHER,adio/common/ad_hints.c:196,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
44,*MPI_ERR_OTHER,adio/common/hint_fns.c:113,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
45,*MPI_ERR_OTHER,adio/common/ad_hints.c:219,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
46,*MPI_ERR_OTHER,adio/common/hint_fns.c:67,VALID,ADIOI_Info_set,src/mpi/info/infoutil.c:65,154
