Phase 1: Parsing XML file and creating rules
	Total time: 19 seconds
Phase 2: Constructing the WFA
	Total time: 138 seconds
Phase 3: Inspecting interesting program points
	Total # of points 20407
	Total time: 203 seconds
Error Code, Call Sites to Dropping Function, Type, Validity, FP Type, Dropping Function, Definition of Dropping Function, SHA, Examiner, Date, Notes, 
2,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/gen2/rdma_iba_1sc.c:2203,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
3,*MPI_ERR_UNKNOWN,adio/ad_nfs/ad_nfs_read.c:33,Unsaved,,,,adio/common/lock.c:177,,,,
4,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/rdma/ch3_progress.c:1123,Unsaved,,,,src/mpid/ch3/src/ch3u_request.c:862,,,,
5,*MPI_ERR_TRUNCATE MPI_ERR_COUNT MPI_ERR_IN_STATUS MPI_ERR_ARG MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_REQUEST MPI_ERR_OTHER,src/mpi/coll/bcast_osu.c:2776,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
6,*MPI_ERR_COUNT MPI_ERR_OTHER,src/mpi/coll/red_scat_osu.c:1282,Unsaved,,,,src/mpi/coll/helper_fns.c:703,,,,
7,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/gen2/rdma_iba_1sc.c:800,Unsaved,,,,src/mpid/ch3/channels/common/src/cm/cm.c:2639,,,,
8,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/gen2/rdma_iba_1sc.c:1638,Unsaved,,,,src/mpid/ch3/channels/common/src/cm/cm.c:2639,,,,
9,*MPI_ERR_ARG,adio/common/ad_darray.c:52,Unsaved,,,,adio/common/ad_darray.c:168,,,,
10,*MPI_ERR_UNKNOWN,adio/common/ad_read_str.c:271,Unsaved,,,,adio/common/lock.c:177,,,,
11,*MPI_ERR_UNKNOWN,adio/common/ad_write_str_naive.c:224,Unsaved,,,,adio/common/lock.c:177,,,,
12,*MPI_ERR_UNKNOWN,mpi-io/iread.c:145,Unsaved,,,,adio/common/lock.c:177,,,,
13,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/gen2/rdma_iba_init.c:785,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
14,*MPI_ERR_OTHER,src/mpi/pt2pt/sendrecv.c:198,Unsaved,,,,src/mpid/ch3/src/ch3u_request.c:862,,,,
15,*MPI_ERR_UNKNOWN,adio/common/ad_read_str_naive.c:103,Unsaved,,,,adio/common/lock.c:177,,,,
16,*MPI_ERR_OTHER,src/mpid/ch3/src/ch3u_port.c:1114,Unsaved,,,,src/mpid/ch3/src/ch3u_comm.c:333,,,,
17,*MPI_ERR_COUNT MPI_ERR_INTERN MPI_ERR_OTHER,src/mpi/coll/red_scat_block_osu.c:145,Unsaved,,,,src/mpi/coll/helper_fns.c:783,,,,
18,*MPI_ERR_INTERN,src/mpi/coll/ch3_shmem_coll.c:814,Unsaved,,,,src/mpi/coll/iallgatherv_tuning.c:366,,,,
19,*MPI_ERR_OTHER,src/mpid/ch3/src/ch3u_recvq.c:637,Unsaved,,,,src/mpid/ch3/src/ch3u_request.c:862,,,,
20,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpi/coll/ch3_shmem_coll.c:1743,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
21,*MPI_ERR_INFO,adio/common/system_hints.c:184,Unsaved,,,,src/mpi/info/info_getn.c:103,,,,
22,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpi/coll/bcast_osu.c:1197,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
23,*MPI_ERR_TRUNCATE MPI_ERR_COUNT MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/gen2/ibv_env_params.c:2524,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
24,*MPI_ERR_OTHER,src/mpi/comm/intercomm_merge.c:49,Unsaved,,,,src/mpi/comm/commutil.c:528,,,,
25,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/rdma/ch3_rndvtransfer.c:377,Unsaved,,,,src/mpid/ch3/channels/mrail/src/rdma/ch3_istartmsg.c:186,,,,
26,*MPI_ERR_FILE,src/mpi/errhan/file_set_errhandler.c:107,Unsaved,,,,mpi-io/mpich_fileutil.c:48,,,,
27,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/rdma/ch3_isendv.c:134,Unsaved,,,,src/mpid/ch3/src/ch3u_request.c:862,,,,
28,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpi/coll/red_scat_osu.c:1119,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
29,*MPI_ERR_INTERN MPI_ERR_OTHER,adio/common/p2p_aggregation.c:870,Unsaved,,,,src/mpi/pt2pt/mpir_request.c:546,,,,
30,*MPI_ERR_OTHER,src/mpid/ch3/src/ch3u_handle_recv_req.c:717,Unsaved,,,,src/mpid/ch3/src/ch3u_handle_recv_req.c:1450,,,,
31,*MPI_ERR_UNKNOWN,adio/ad_nfs/ad_nfs_write.c:499,Unsaved,,,,adio/common/lock.c:177,,,,
32,*MPI_ERR_OTHER,src/mpid/common/datatype/dataloop/dataloop_create.c:321,Unsaved,,,,src/mpid/common/datatype/mpid_datatype_contents.c:66,,,,
33,*MPI_ERR_UNKNOWN,adio/ad_nfs/ad_nfs_getsh.c:47,Unsaved,,,,adio/common/lock.c:177,,,,
34,*MPI_ERR_OTHER,src/mpi/comm/commutil.c:840,Unsaved,,,,src/mpi/comm/commutil.c:494,,,,
35,*MPI_ERR_OTHER,src/mpid/ch3/src/ch3u_recvq.c:910,Unsaved,,,,src/mpid/ch3/src/ch3u_request.c:862,,,,
36,*MPI_ERR_TRUNCATE MPI_ERR_IN_STATUS MPI_ERR_ARG MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_REQUEST MPI_ERR_OTHER,src/mpi/coll/red_scat_block_osu.c:149,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
37,*MPI_ERR_OTHER,src/mpi/coll/iallreduce.c:551,Unsaved,,,,src/mpi/comm/commutil.c:318,,,,
38,*MPI_ERR_INTERN,src/mpi/coll/ch3_shmem_coll.c:766,Unsaved,,,,src/mpi/coll/ired_scat_tuning.c:331,,,,
