ID,Error Code,Dropping Site,Type,Validity,Origin Site,Present in MPICH?,
2,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpid/ch3/src/mpid_finalize.c:155,Unsaved,VALID,src/mpi/coll/helper_fns.c:85,No,
3,*MPI_ERR_OTHER,adio/common/ad_write_coll.c:758,Unsaved,VALID,src/mpid/ch3/src/ch3u_request.c:862,No,
4,*MPI_ERR_OTHER,mpi-io/write_ordb.c:94,Unsaved,VALID,src/mpid/ch3/src/ch3u_request.c:862,No,
5,*MPI_ERR_OTHER,mpi-io/write_ord.c:88,Unsaved,VALID,src/mpid/ch3/src/ch3u_request.c:862,No,
6,*MPI_ERR_OTHER,mpi-io/read_ord.c:86,Unsaved,VALID,src/mpid/ch3/src/ch3u_request.c:862,No,
7,*MPI_ERR_OTHER,mpi-io/read_ordb.c:93,Unsaved,VALID,src/mpid/ch3/src/ch3u_request.c:862,No,
8,*MPI_ERR_INTERN,src/mpi/coll/ch3_shmem_coll.c:1284,Unsaved,VALID,src/mpi/coll/ialltoallv_tuning.c:314,No,
9,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpid/ch3/src/ch3u_rma_progress.c:166,Unsaved,VALID,src/mpi/coll/helper_fns.c:85,No,
10,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/gen2/rdma_iba_1sc.c:1073,Unsaved,VALID,src/mpi/coll/helper_fns.c:85,No,
11,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpid/ch3/src/ch3u_rma_sync.c:1254,Unsaved,VALID,src/mpi/coll/helper_fns.c:85,No,
12,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/gen2/rdma_iba_1sc.c:1038,Unsaved,VALID,src/mpi/coll/helper_fns.c:85,No,
13,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/gen2/rdma_iba_1sc.c:942,Unsaved,VALID,src/mpi/coll/helper_fns.c:85,No,
14,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/rdma/ch3_rndvtransfer.c:780,Unsaved,VALID,src/mpid/ch3/channels/mrail/src/rdma/ch3_istartmsg.c:186,No,
15,*MPI_ERR_OTHER,adio/common/hint_fns.c:74,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
16,*MPI_ERR_OTHER,adio/common/system_hints.c:195,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
17,*MPI_ERR_OTHER,adio/common/ad_open.c:133,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
18,*MPI_ERR_OTHER,adio/common/ad_hints.c:61,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
19,*MPI_ERR_OTHER,adio/common/ad_hints.c:76,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
20,*MPI_ERR_OTHER,adio/common/ad_hints.c:67,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
21,*MPI_ERR_OTHER,adio/common/ad_open.c:321,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
22,*MPI_ERR_OTHER,adio/common/ad_hints.c:172,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
23,*MPI_ERR_OTHER,adio/common/ad_hints.c:286,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
24,*MPI_ERR_OTHER,adio/common/ad_hints.c:69,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
25,*MPI_ERR_OTHER,adio/common/hint_fns.c:169,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
26,*MPI_ERR_OTHER,adio/common/ad_hints.c:88,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
